p_0,p_1,alpha_2,mu0_0,mu0_1,beta_2,mu1_0,mu1_1,gamma_2,count,bias_RA,var_RA,bias_IPW,var_IPW,bias_AIPW,var_AIPW,bias_IPWRA,var_IPWRA,bias_NNMATCH,var_NNMATCH,bias_PSMATCH,var_PSMATCH,_merge,MSE_RA,MSE_IPW,MSE_AIPW,MSE_IPWRA,MSE_NNMATCH,MSE_PSMATCH,min_absbias,minimizing_absbias
.75,.25,-1.42,.25,.75,-1.42,.75,.25,1.42,44,.0047633811,.002560749,-.17821766,.055992834,.1657467,.023750518,-.18963398,.0095986733,-.0020690011,.0036493673,-.0019160013,.0036521009,matched (3),.0025834388,.087754369,.051222488,.045559719,.0036536481,.003655772,.0047633811,1
.75,.25,-1.42,.25,.75,-1.42,.25,.75,-1.42,45,.045942783,.0022898873,-.1565925,.054960851,.20015867,.024673386,-.13953368,.009084017,-.0017200001,.0033857094,-.0015630001,.0033957777,matched (3),.0044006268,.079482064,.06473688,.028553667,.0033886677,.0033982205,.045942783,1
.75,.25,-1.42,.25,.75,-1.42,.25,.75,-.5,46,.033148114,.0025024726,-.16581197,.055305794,.18954529,.024763692,.011828386,.0092067262,-.0015910001,.0035289335,-.0014310001,.0035414447,matched (3),.00360127,.082799405,.060691107,.0093466369,.0035314648,.0035434924,.011828386,4
.75,.25,-1.42,.25,.75,-1.42,.25,.75,.5,47,.018744109,.0025111635,-.17630351,.055316247,.17750597,.024573134,.17257625,.0093293311,-.0016370005,.0035860299,-.0014710004,.0035916893,matched (3),.0028625051,.086399175,.056081504,.039111894,.0035887097,.0035938532,.018744109,1
.75,.25,-1.42,.25,.75,-1.42,.25,.75,1.42,48,.005558006,.0023472444,-.185884,.055055019,.16650178,.024343153,.31626171,.0092469146,-.0016040009,.003587774,-.0014340014,.0035902658,matched (3),.0023781359,.08960788,.052065995,.10926838,.0035903468,.0035923221,.005558006,1
.75,.25,-1.42,.25,.75,-1.42,.5,.5,-1.6,49,.048435397,.0023172365,-.15060471,.055323184,.20222424,.024277369,-.4093549,.0095546031,-.0025300002,.00345994,-.0023830002,.0034702416,matched (3),.0046632243,.078004964,.065172009,.17712604,.0034663409,.0034759203,.048435397,1
.75,.25,-1.42,.25,.75,-1.42,.5,.5,1.6,50,.0021345804,.0025009394,-.18437195,.055912737,.16353816,.02379607,.098784365,.0097333165,-.0026590014,.0037175489,-.0024900013,.0037199904,matched (3),.0025054959,.089905754,.050540801,.019491667,.0037246193,.0037261904,.0021345804,1
.75,.25,-1.42,.25,.75,-.5,.75,.25,-1.42,51,.028724665,.0029335089,-.15242082,.049282908,.080867752,.014061602,-.73834926,.0081198206,-.0024849998,.0047827186,-.0024079999,.0047894334,matched (3),.0037586153,.072515011,.020601194,.55327946,.0047888937,.0047952319,.028724665,1
.75,.25,-1.42,.25,.75,-.5,.75,.25,-.5,52,.015207531,.0032250662,-.16228256,.049601268,.069558389,.014367429,-.59244502,.0083844541,-.002991,.004929238,-.0028979999,.0049408046,matched (3),.0034563353,.075936899,.019205797,.35937554,.0049381843,.0049492028,.015207531,1
.75,.25,-1.42,.25,.75,-.5,.75,.25,.5,53,.00066466496,.0032145986,-.1728915,.049505319,.057387561,.014202279,-.43722874,.0080794198,-.0027019996,.0050736819,-.0025879999,.0050794724,matched (3),.0032150403,.079396792,.017495612,.19924839,.0050809826,.00508617,.00066466496,1
.75,.25,-1.42,.25,.75,-.5,.75,.25,1.42,54,-.01267994,.002992965,-.18265754,.049378149,.046229247,.014006313,-.29467699,.0080839079,-.0028079997,.0048355223,-.0027099999,.0048391544,matched (3),.003153746,.082741924,.016143456,.094918437,.0048434073,.0048464984,.01267994,1
.75,.25,-1.42,.25,.75,-.5,.25,.75,-1.42,55,.028499462,.0026925371,-.16103238,.048432149,.08064121,.014151733,-.24457669,.0074530076,-.0024590001,.0044498877,-.002357,.0044610202,matched (3),.0035047564,.074363574,.020654738,.067270763,.0044559343,.0044665756,.028499462,1
.75,.25,-1.42,.25,.75,-.5,.25,.75,-.5,56,.01570479,.0029541031,-.17025185,.048818458,.070027836,.01434536,-.093214631,.0077034296,-.00233,.0045974548,-.0022249999,.0046115196,matched (3),.0032007436,.077804148,.019249259,.016392397,.0046028835,.0046164701,.01570479,1
.75,.25,-1.42,.25,.75,-.5,.25,.75,.5,57,.0013007883,.0029792595,-.18074338,.048865262,.057988521,.014234359,.067533232,.0077825249,-.0023760002,.004653445,-.002265,.0046597049,matched (3),.0029809515,.081533432,.017597027,.012343262,.0046590902,.0046648351,.0013007883,1
